"","diff","lwr","upr","p adj"
"mean-complete",-0.077,-0.082,-0.073,0
"mi15-complete",-0.076,-0.081,-0.072,0
"mi5-complete",-0.077,-0.082,-0.073,0
"reg-complete",-0.058,-0.062,-0.054,0
"s_reg-complete",-0.078,-0.082,-0.073,0
"mi15-mean",0.001,-0.003,0.006,0.983
"mi5-mean",0,-0.005,0.004,1
"reg-mean",0.019,0.015,0.024,0
"s_reg-mean",-0.001,-0.005,0.004,0.999
"mi5-mi15",-0.001,-0.006,0.003,0.965
"reg-mi15",0.018,0.014,0.023,0
"s_reg-mi15",-0.002,-0.006,0.003,0.895
"reg-mi5",0.019,0.015,0.024,0
"s_reg-mi5",0,-0.005,0.004,1
"s_reg-reg",-0.02,-0.024,-0.015,0
